Cc1cc(Nc2ccc(C(C)(C)C)cc2)[nH]n1; ['CC(C)(C)c1ccc(B(O)O)cc1', 'CC(C)(C)c1ccc(F)cc1']; ['Cc1cc(N)[nH]n1', 'Cc1cc(N)[nH]n1']; [0.997630954, 0.997630954]
Cc1cc(Nc2cnc3ccccc3c2)[nH]n1; ['Brc1cnc2ccccc2c1']; ['Cc1cc(N)[nH]n1']; [0.79563874]
Cc1cc(Nc2ccco2)[nH]n1; [None]; [None]; [0]
Cc1cc(Nc2cc(C)nc(N)n2)[nH]n1; ['Cc1cc(Cl)nc(N)n1']; ['Cc1cc(N)[nH]n1']; [0.950729]
CSc1cccc(Nc2cc(C)n[nH]2)c1; ['CSc1cccc(N)c1']; ['Cc1cc(Cl)[nH]n1']; [0.94779712]
Cc1cc(N[C@@H]2CC[C@@H](O)CC2)[nH]n1; ['Cc1cc(Cl)[nH]n1']; ['N[C@H]1CC[C@H](O)CC1']; [0.98921293]
CC[C@@H](CO)Nc1cc(C)n[nH]1; [None]; [None]; [0]
Cc1cc(Nc2ccc(F)cc2Cl)[nH]n1; ['Cc1cc(N)[nH]n1', 'Cc1cc(Cl)[nH]n1']; ['OB(O)c1ccc(F)cc1Cl', 'Nc1ccc(F)cc1Cl']; [0.999927521, 0.999927521]
Cc1cc(N[C@H]2CC[C@@H](O)C2)[nH]n1; [None]; [None]; [0]
Cc1cc(Nc2ncc(Br)cn2)[nH]n1; ['Cc1cc(N)[nH]n1']; ['Clc1ncc(Br)cn1']; [0.976328433]
COc1ccc(Nc2cc(C)n[nH]2)cc1OC; ['COc1ccc(F)cc1OC', 'COc1ccc(Br)cc1OC']; ['Cc1cc(N)[nH]n1', 'Cc1cc(N)[nH]n1']; [0.989278316, 0.989278316]
CCc1ccc(Nc2cc(C)n[nH]2)cc1; ['CCc1ccc(F)cc1']; ['Cc1cc(N)[nH]n1']; [0.842313468]
Cc1cc(Nc2ccc(Cl)cc2Cl)[nH]n1; ['Cc1cc(N)[nH]n1', 'Cc1cc(Cl)[nH]n1']; ['OB(O)c1ccc(Cl)cc1Cl', 'Nc1ccc(Cl)cc1Cl']; [0.999188364, 0.999188364]
Cc1cc(Nc2ccsc2)[nH]n1; ['Cc1cc(N)[nH]n1']; ['OB(O)c1ccsc1']; [0.999559]
Cc1cc(Nc2cn(C)nc2C(F)(F)F)[nH]n1; ['Cc1cc(N)[nH]n1']; ['Cn1cc(Br)c(C(F)(F)F)n1']; [0.999954224]
Cc1cc(C)cc(Nc2cc(C)n[nH]2)c1; ['Cc1cc(C)cc(B(O)O)c1', 'Cc1cc(C)cc(F)c1']; ['Cc1cc(N)[nH]n1', 'Cc1cc(N)[nH]n1']; [0.96810931, 0.96810931]
COc1ccc2cccc(Nc3cc(C)n[nH]3)c2c1; [None]; [None]; [0]
Cc1cc(Nc2cccc3ccc(O)cc23)[nH]n1; ['Cc1cc(Cl)[nH]n1']; ['Nc1cccc2ccc(O)cc12']; [0.857309699]
COc1cc(F)c(Nc2cc(C)n[nH]2)cc1OC; [None]; [None]; [0]
COc1cc(Nc2cc(C)n[nH]2)ccc1Cl; ['COc1cc(B(O)O)ccc1Cl']; ['Cc1cc(N)[nH]n1']; [0.999762595]
Cc1cc(Nc2ccc(C)o2)[nH]n1; [None]; [None]; [0]
COc1cc(Nc2cc(C)n[nH]2)c(OC)cc1Br; ['COc1cc(Br)c(OC)cc1Br']; ['Cc1cc(N)[nH]n1']; [0.981780112]
Cc1cc(Nc2ccc3cn[nH]c3c2)[nH]n1; ['Cc1cc(N)[nH]n1', 'Brc1ccc2cn[nH]c2c1']; ['OB(O)c1ccc2cn[nH]c2c1', 'Cc1cc(N)[nH]n1']; [0.999955893, 0.999955893]
Cc1cc(Nc2cc3ccccc3o2)[nH]n1; [None]; [None]; [0]
CNC(=O)c1ccc(Nc2cc(C)n[nH]2)cc1; [None]; [None]; [0]
Cc1cc(Nc2ccc(OC(F)(F)F)cc2)[nH]n1; ['Cc1cc(N)[nH]n1', 'Cc1cc(N)[nH]n1']; ['OB(O)c1ccc(OC(F)(F)F)cc1', 'FC(F)(F)Oc1ccc(Br)cc1']; [0.999628544, 0.999628544]
Cc1cc(Nc2cscn2)[nH]n1; [None]; [None]; [0]
CCc1cccc(Nc2cc(C)n[nH]2)n1; [None]; [None]; [0]
Cc1cc(Nc2ccc(C)c(C)n2)[nH]n1; [None]; [None]; [0]
Cc1cc(Nc2cccc(N3CCCC3=O)c2)[nH]n1; [None]; [None]; [0]
Cc1cc(Nc2ccc(CCO)cc2)[nH]n1; ['Cc1cc(Cl)[nH]n1']; ['Nc1ccc(CCO)cc1']; [0.894135237]
COc1cc(N2CCNCC2)ccc1Nc1cc(C)n[nH]1; [None]; [None]; [0]
Cc1cc(Nc2cc(S(C)(=O)=O)ccc2Cl)[nH]n1; ['CS(=O)(=O)c1ccc(Cl)c(Br)c1']; ['Cc1cc(N)[nH]n1']; [0.999783099]
N#Cc1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12']; ['N#Cc1ccc(B(O)O)cc1']; [0.999996066]
CCOc1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12', 'Brc1cnn2cccnc12']; ['CCOc1ccc(B2OC(C)(C)C(C)(C)O2)cc1', 'CCOc1ccc(B(O)O)cc1']; [0.999999881, 0.999999881]
Cc1n[nH]cc1-c1cnn2cccnc12; ['Brc1cnn2cccnc12']; ['Cc1n[nH]cc1B1OC(C)(C)C(C)(C)O1']; [0.99999392]
COc1ncccc1-c1cnn2cccnc12; ['Brc1cnn2cccnc12']; ['COc1ncccc1B(O)O']; [0.999732554]
CS(=O)(=O)c1cccc(-c2cnn3cccnc23)c1; ['Brc1cnn2cccnc12']; ['CS(=O)(=O)c1cccc(B(O)O)c1']; [0.999998212]
Cn1nncc1-c1cnn2cccnc12; ['Brc1cnn2cccnc12']; ['Cn1ccnn1']; [0.999487519]
COc1cc(-c2cnn3cccnc23)cc(OC)c1OC; ['Brc1cnn2cccnc12']; ['COc1cc(B(O)O)cc(OC)c1OC']; [0.999996901]
Cn1cc(-c2cnn3cccnc23)cn1; ['Brc1cnn2cccnc12', 'Brc1cnn2cccnc12']; ['Cn1cc(B2OC(C)(C)C(C)(C)O2)cn1', 'Cn1cc(B(O)O)cn1']; [0.999999762, 0.999999762]
Cc1nn(C)cc1-c1cnn2cccnc12; ['Brc1cnn2cccnc12']; ['Cc1nn(C)cc1B1OC(C)(C)C(C)(C)O1']; [0.999999881]
c1cnn2c(-c3cnn4cccnc34)cnc2c1; [None]; [None]; [0]
Oc1cccc(-c2cnn3cccnc23)c1; ['Brc1cnn2cccnc12']; ['OB(O)c1cccc(O)c1']; [0.999985933]
COc1ccc(-c2cnn3cccnc23)cc1; [None]; [None]; [0]
c1ccc2[nH]c(-c3cnn4cccnc34)nc2c1; [None]; [None]; [0]
Cc1cc(Nc2cnn3cccnc23)sn1; [None]; [None]; [0]
