Nc1cc2c(-c3cnoc3)cccc2cn1; [None]; [None]; [0]
COc1ccc(-c2cccc3cnc(N)cc23)cc1Cl; [None]; [None]; [0]
CC(C)(N)c1ccc(-c2cccc3cnc(N)cc23)cc1; [None]; [None]; [0]
Nc1cc2c(-c3cccc4c3C(=O)CC4)cccc2cn1; [None]; [None]; [0]
CCCn1cc(-c2cccc3cnc(N)cc23)cn1; [None]; [None]; [0]
CCN(CC)c1cccc2cnc(N)cc12; [None]; [None]; [0]
C[S@](=O)c1ccc(-c2cccc3cnc(N)cc23)cc1; [None]; [None]; [0]
CCOC(=O)Cc1cccc2cnc(N)cc12; [None]; [None]; [0]
COc1ccncc1Nc1cccc2cnc(N)cc12; [None]; [None]; [0]
Nc1cc2c(Nc3cnc4ccccc4c3)cccc2cn1; [None]; [None]; [0]
Nc1cc2c(-c3cc4c(=O)[nH]ccc4o3)cccc2cn1; [None]; [None]; [0]
Nc1cc2c([C@H](CO)Cc3ccccc3)cccc2cn1; [None]; [None]; [0]
N#CCC(=O)N1CCC[C@@H](c2cccc3cnc(N)cc23)C1; [None]; [None]; [0]
Nc1cc2c(-c3c[nH]c4cnccc34)cccc2cn1; [None]; [None]; [0]
N#C[C@H]1CCOC[C@@H]1c1cccc2cnc(N)cc12; [None]; [None]; [0]
N#CC[C@@H]1CC[C@@H](c2cccc3cnc(N)cc23)CC1; [None]; [None]; [0]
N#C[C@@H]1CC[C@@H](c2cccc3cnc(N)cc23)CC1; [None]; [None]; [0]
NC(=O)c1c(F)cccc1-c1cccc2cnc(N)cc12; [None]; [None]; [0]
CC(C)(C)NS(=O)(=O)c1ccc(-c2cccc3cnc(N)cc23)cc1; [None]; [None]; [0]
CS(=O)(=O)c1ccc(-c2cccc3cnc(N)cc23)cc1; [None]; [None]; [0]
Nc1cc2c(-c3cccnc3O)cccc2cn1; [None]; [None]; [0]
Nc1cc2c(-n3ncc4c(O)cccc43)cccc2cn1; [None]; [None]; [0]
Nc1cc2c(-n3ncc4ccccc43)cccc2cn1; [None]; [None]; [0]
COc1ccc(-c2cccc3cnc(N)cc23)c(OC)c1; [None]; [None]; [0]
Nc1cc2c(-c3nc4ccc(O)cc4[nH]3)cccc2cn1; [None]; [None]; [0]
Nc1cc2c(Cc3ccncc3)cccc2cn1; [None]; [None]; [0]
Nc1cc2c(-n3ccnc3)cccc2cn1; [None]; [None]; [0]
Nc1cc2c(-c3ccc(C(=O)c4ccccc4)cc3)cccc2cn1; [None]; [None]; [0]
Nc1cc2c(OC3CCOCC3)cccc2cn1; [None]; [None]; [0]
Nc1cc2c(-c3nnc(N)s3)cccc2cn1; [None]; [None]; [0]
Cc1cncc(-c2cccc3cnc(N)cc23)n1; [None]; [None]; [0]
Nc1cc2c(-c3cnc(N)s3)cccc2cn1; [None]; [None]; [0]
COc1cccc(F)c1-c1cccc2cnc(N)cc12; [None]; [None]; [0]
Nc1cc2c(-c3cccc4ccsc34)cccc2cn1; [None]; [None]; [0]
Nc1cc2c(-c3nc4ccccc4s3)cccc2cn1; [None]; [None]; [0]
COc1ccc(C#N)cc1-c1cccc2cnc(N)cc12; [None]; [None]; [0]
Nc1cc2c(-c3nc(N)c4ccccc4n3)cccc2cn1; [None]; [None]; [0]
Nc1cc2c(-c3c[nH]c4cccnc34)cccc2cn1; [None]; [None]; [0]
CC(C)(C)CNc1cccc2cnc(N)cc12; [None]; [None]; [0]
Nc1cc2c(Cc3cccnc3)cccc2cn1; [None]; [None]; [0]
CC(C)(C)Oc1cccc2cnc(N)cc12; [None]; [None]; [0]
COc1ccc(OC)c(-c2cccc3cnc(N)cc23)c1; [None]; [None]; [0]
C[C@@]1(O)CC[C@H](c2cccc3cnc(N)cc23)CC1; [None]; [None]; [0]
Nc1cc2c(N3CCC(c4nc5ccccc5[nH]4)CC3)cccc2cn1; [None]; [None]; [0]
CNC(=O)c1ccccc1-c1cncc(O)n1; [None]; [None]; [0]
CCOc1ccccc1-c1cncc(O)n1; ['CCOc1ccccc1B(O)O']; ['Oc1cncc(Cl)n1']; [0.998997271]
Nc1cc2c(N3CC=C(c4c[nH]c5ccccc45)CC3)cccc2cn1; [None]; [None]; [0]
Oc1cncc(-c2ccnc3ccccc23)n1; ['OB(O)c1ccnc2ccccc12']; ['Oc1cncc(Cl)n1']; [0.994792402]
Oc1cncc(-c2cccnc2)n1; ['OB(O)c1cccnc1']; ['Oc1cncc(Cl)n1']; [0.99403882]
Oc1cncc(-c2cc[nH]n2)n1; [None]; [None]; [0]
Oc1cncc([C@@H]2C[C@H](O)C2)n1; [None]; [None]; [0]
Oc1cncc(-c2ccccc2F)n1; ['OB(O)c1ccccc1F']; ['Oc1cncc(Cl)n1']; [0.992014885]
Oc1cncc(-c2ccccc2Br)n1; ['OB(O)c1ccccc1Br']; ['Oc1cncc(Cl)n1']; [0.996821046]
N#Cc1ccccc1-c1cncc(O)n1; ['N#Cc1ccccc1B(O)O']; ['Oc1cncc(Cl)n1']; [0.998404324]
Oc1cncc(-c2cccc(C(F)(F)F)c2)n1; ['OB(O)c1cccc(C(F)(F)F)c1']; ['Oc1cncc(Cl)n1']; [0.999775469]
NC(=O)c1ccccc1-c1cncc(O)n1; [None]; [None]; [0]
Oc1cncc(-c2ccccc2Cl)n1; [None]; [None]; [0]
Oc1cncc(-c2cnn(Cc3ccccc3)c2)n1; [None]; [None]; [0]
Oc1cncc(-c2ccccc2OC(F)(F)F)n1; ['OB(O)c1ccccc1OC(F)(F)F']; ['Oc1cncc(Cl)n1']; [0.997766256]
Oc1cncc(-c2c(F)cccc2F)n1; [None]; [None]; [0]
OCCn1cc(-c2cncc(O)n2)cn1; ['CC1(C)OB(c2cnn(CCO)c2)OC1(C)C']; ['Oc1cncc(Cl)n1']; [0.988962591]
Oc1cncc(-c2ccc3c(c2)CCC3)n1; [None]; [None]; [0]
Oc1cncc(-c2ccncn2)n1; [None]; [None]; [0]
O=C(Nc1cccc(-c2cncc(O)n2)c1)c1ccccc1; [None]; [None]; [0]
Oc1cncc(-c2cnc(-c3ccccc3)[nH]2)n1; [None]; [None]; [0]
Cc1nc(C)c(-c2cncc(O)n2)s1; [None]; [None]; [0]
Cc1ccc(-c2cncc(O)n2)c(Br)c1; [None]; [None]; [0]
Oc1cncc(-c2cnco2)n1; [None]; [None]; [0]
Oc1cncc(-c2c(Cl)cccc2Cl)n1; [None]; [None]; [0]
Oc1cncc(-c2cnc3cccnn23)n1; [None]; [None]; [0]
Cc1nc(N)sc1-c1cncc(O)n1; [None]; [None]; [0]
Cc1ccc(Cl)c(-c2cncc(O)n2)c1; [None]; [None]; [0]
Oc1cncc(-c2cccc(Cl)c2Cl)n1; ['OB(O)c1cccc(Cl)c1Cl']; ['Oc1cncc(Cl)n1']; [0.989488]
COc1cccc(-c2cncc(O)n2)c1; ['COc1cccc(B2OC(C)(C)C(C)(C)O2)c1']; ['Oc1cncc(Cl)n1']; [0.999809086]
Oc1cncc(-c2cnc3ccccn23)n1; [None]; [None]; [0]
Nc1nccc(-c2cncc(O)n2)n1; [None]; [None]; [0]
Oc1cncc(-c2cncc3ccccc23)n1; ['OB(O)c1cncc2ccccc12']; ['Oc1cncc(Cl)n1']; [0.98022157]
Cc1ncc(-c2cncc(O)n2)[nH]1; [None]; [None]; [0]
Oc1cncc(-c2ccc3ccccc3c2)n1; ['CC1(C)OB(c2ccc3ccccc3c2)OC1(C)C']; ['Oc1cncc(Cl)n1']; [0.999939799]
Oc1cncc(-c2ccc(Cl)s2)n1; [None]; [None]; [0]
OCc1cccc(-c2cncc(O)n2)c1; ['OCc1cccc(B(O)O)c1']; ['Oc1cncc(Cl)n1']; [0.998815656]
Oc1cccc(-c2cncc(O)n2)c1; ['CC1(C)OB(c2cccc(O)c2)OC1(C)C']; ['Oc1cncc(Cl)n1']; [0.999350727]
Cn1cncc1-c1cncc(O)n1; [None]; [None]; [0]
Oc1cncc(-c2ccco2)n1; [None]; [None]; [0]
Oc1cncc(-c2cccs2)n1; [None]; [None]; [0]
Cn1cc(-c2cncc(O)n2)cn1; ['Cn1cc(B(O)O)cn1']; ['Oc1cncc(Cl)n1']; [0.994325817]
OC[C@H](O)CCc1cncc(O)n1; [None]; [None]; [0]
N#CCCc1cccc(-c2cncc(O)n2)c1; [None]; [None]; [0]
CC[C@H](CO)c1cncc(O)n1; [None]; [None]; [0]
Oc1cncc(-c2ccc(F)cc2C(F)(F)F)n1; ['OB(O)c1ccc(F)cc1C(F)(F)F']; ['Oc1cncc(Cl)n1']; [0.999732673]
CCC(=O)Nc1ccc(-c2cncc(O)n2)cc1; [None]; [None]; [0]
CC(=O)Nc1cccc(-c2cncc(O)n2)c1; ['CC(=O)Nc1cccc(B(O)O)c1']; ['Oc1cncc(Cl)n1']; [0.999003708]
COc1ccc(-c2cncc(O)n2)cc1Cl; ['COc1ccc(B(O)O)cc1Cl']; ['Oc1cncc(Cl)n1']; [0.999770343]
Cc1cc(-c2cncc(O)n2)no1; [None]; [None]; [0]
Oc1cncc(-c2cnoc2)n1; [None]; [None]; [0]
CCCn1cc(-c2cncc(O)n2)cn1; ['CCCn1cc(B2OC(C)(C)C(C)(C)O2)cn1']; ['Oc1cncc(Cl)n1']; [0.999703825]
C[S@](=O)c1ccc(-c2cncc(O)n2)cc1; [None]; [None]; [0]
CC(C)(N)c1ccc(-c2cncc(O)n2)cc1; [None]; [None]; [0]
O=C1CCc2cccc(-c3cncc(O)n3)c21; [None]; [None]; [0]
Oc1cncc(-c2c[nH]c3cnccc23)n1; [None]; [None]; [0]
Oc1cncc(-c2c[nH]c3ccccc23)n1; [None]; [None]; [0]
O=c1[nH]ccc2oc(-c3cncc(O)n3)cc12; [None]; [None]; [0]
N#CC[C@@H]1CC[C@@H](c2cncc(O)n2)CC1; [None]; [None]; [0]
N#CCC(=O)N1CCC[C@@H](c2cncc(O)n2)C1; [None]; [None]; [0]
N#C[C@@H]1CC[C@@H](c2cncc(O)n2)CC1; [None]; [None]; [0]
CC(C)(C)NS(=O)(=O)c1ccc(-c2cncc(O)n2)cc1; ['CC(C)(C)NS(=O)(=O)c1ccc(B(O)O)cc1']; ['Oc1cncc(Cl)n1']; [0.999403119]
CNS(=O)(=O)c1ccc(-c2cncc(O)n2)cc1; [None]; [None]; [0]
N#C[C@H]1CCOC[C@@H]1c1cncc(O)n1; [None]; [None]; [0]
CS(=O)(=O)c1ccc(-c2cncc(O)n2)cc1; ['CS(=O)(=O)c1ccc(B(O)O)cc1']; ['Oc1cncc(Cl)n1']; [0.999012351]
Oc1cncc(-c2cccnc2O)n1; [None]; [None]; [0]
NC(=O)c1c(F)cccc1-c1cncc(O)n1; [None]; [None]; [0]
O=C(c1ccccc1)c1ccc(-c2cncc(O)n2)cc1; ['O=C(c1ccccc1)c1ccc(B(O)O)cc1']; ['Oc1cncc(Cl)n1']; [0.998492837]
Oc1ccc2nc(-c3cncc(O)n3)[nH]c2c1; [None]; [None]; [0]
COc1ccc(-c2cncc(O)n2)c(OC)c1; ['COc1ccc(B(O)O)c(OC)c1']; ['Oc1cncc(Cl)n1']; [0.999321938]
Nc1ncc(-c2cncc(O)n2)s1; [None]; [None]; [0]
Cc1cncc(-c2cncc(O)n2)n1; [None]; [None]; [0]
Nc1nnc(-c2cncc(O)n2)s1; [None]; [None]; [0]
COc1cccc(F)c1-c1cncc(O)n1; ['COc1cccc(F)c1B(O)O']; ['Oc1cncc(Cl)n1']; [0.999786437]
Oc1cncc(-c2cccc3ccsc23)n1; [None]; [None]; [0]
Oc1cncc(-c2nc3ccccc3s2)n1; [None]; [None]; [0]
Oc1cncc(-c2c[nH]c3cccnc23)n1; [None]; [None]; [0]
C[C@@]1(O)CC[C@H](c2cncc(O)n2)CC1; [None]; [None]; [0]
COc1ccc(C#N)cc1-c1cncc(O)n1; [None]; [None]; [0]
Oc1cncc(N2CCC(c3nc4ccccc4[nH]3)CC2)n1; ['Oc1cncc(Cl)n1']; ['c1ccc2[nH]c(C3CCNCC3)nc2c1']; [0.990438282]
COc1ccc(OC)c(-c2cncc(O)n2)c1; ['COc1ccc(OC)c(B(O)O)c1']; ['Oc1cncc(Cl)n1']; [0.998892844]
Cc1cc(C)cc(-c2cncc(O)n2)c1; ['Cc1cc(C)cc(B(O)O)c1']; ['Oc1cncc(Cl)n1']; [0.993867815]
N#Cc1ccc(-c2cncc(O)n2)cc1; ['CC1(C)OB(c2ccc(C#N)cc2)OC1(C)C']; ['Oc1cncc(Cl)n1']; [0.999999523]
CCOc1ccc(-c2cncc(O)n2)cc1; ['CCOc1ccc(B(O)O)cc1']; ['Oc1cncc(Cl)n1']; [0.999437749]
COc1ncccc1-c1cncc(O)n1; ['COc1ncccc1B1OC(C)(C)C(C)(C)O1', 'COc1ncccc1B(O)O']; ['Oc1cncc(Cl)n1', 'Oc1cncc(Cl)n1']; [0.994177341, 0.994177341]
CS(=O)(=O)c1cccc(-c2cncc(O)n2)c1; ['CC1(C)OB(c2cccc(S(C)(=O)=O)c2)OC1(C)C', 'CS(=O)(=O)c1cccc(B(O)O)c1']; ['Oc1cncc(Cl)n1', 'Oc1cncc(Cl)n1']; [0.99998, 0.99998]
COc1cc(-c2cncc(O)n2)cc(OC)c1OC; ['COc1cc(B(O)O)cc(OC)c1OC']; ['Oc1cncc(Cl)n1']; [0.999009728]
Cc1n[nH]cc1-c1cncc(O)n1; ['Cc1n[nH]cc1B1OC(C)(C)C(C)(C)O1']; ['Oc1cncc(Cl)n1']; [0.998712301]
Cn1nncc1-c1cncc(O)n1; [None]; [None]; [0]
Cc1nn(C)cc1-c1cncc(O)n1; [None]; [None]; [0]
COc1ccc(-c2cncc(O)n2)cc1; ['COc1ccc(B(O)O)cc1']; ['Oc1cncc(Cl)n1']; [0.999023557]
Oc1cncc(-c2nc3ccccc3[nH]2)n1; [None]; [None]; [0]
NC(=O)c1ccc(-c2cncc(O)n2)cc1; ['CC1(C)OB(c2ccc(C(N)=O)cc2)OC1(C)C', 'NC(=O)c1ccc(B(O)O)cc1']; ['Oc1cncc(Cl)n1', 'Oc1cncc(Cl)n1']; [0.999996662, 0.999996662]
Cc1cc(Nc2cncc(O)n2)sn1; ['Cc1cc(N)sn1']; ['Oc1cncc(Cl)n1']; [0.999308467]
O=C(Nc1ccccc1)c1ccc(-c2cncc(O)n2)cc1; ['CC1(C)OB(c2ccc(C(=O)Nc3ccccc3)cc2)OC1(C)C']; ['Oc1cncc(Cl)n1']; [0.999996305]
Oc1cncc(Nc2ncccn2)n1; [None]; [None]; [0]
Oc1cncc(Cc2nccc3ccccc23)n1; [None]; [None]; [0]
Oc1cncc(-c2cccc(F)c2)n1; ['CC1(C)OB(c2cccc(F)c2)OC1(C)C']; ['Oc1cncc(Cl)n1']; [0.999969959]
Oc1cncc(-c2ccc(Cl)cc2)n1; [None]; [None]; [0]
O=C(Nc1cncc(O)n1)C1CC1; ['NC(=O)C1CC1']; ['Oc1cncc(Cl)n1']; [0.970083177]
OCCOc1ccc(-c2cncc(O)n2)cc1; [None]; [None]; [0]
Oc1cncc(Nc2ccncn2)n1; ['Nc1ccncn1']; ['Oc1cncc(Cl)n1']; [0.79177773]
Oc1cncc(-c2cccc(C3CCNCC3)c2)n1; [None]; [None]; [0]
Oc1cncc(-c2ccc(C(F)(F)F)cc2)n1; ['OB(O)c1ccc(C(F)(F)F)cc1']; ['Oc1cncc(Cl)n1']; [0.999655724]
Cc1cc(-c2cncc(O)n2)nn1C; [None]; [None]; [0]
CN(C)c1ccc(-c2cncc(O)n2)cc1; ['CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1']; ['Oc1cncc(Cl)n1']; [0.99999404]
C[C@H](O)COc1ccc(-c2cncc(O)n2)cc1; [None]; [None]; [0]
Oc1cncc(Cc2ccncc2)n1; [None]; [None]; [0]
Oc1cncc(Cc2cccnc2)n1; [None]; [None]; [0]
Oc1cncc(-c2cncnc2)n1; ['OB(O)c1cncnc1']; ['Oc1cncc(Cl)n1']; [0.996542275]
Oc1cncc(-c2cnc(Cl)nc2)n1; ['OB(O)c1cnc(Cl)nc1']; ['Oc1cncc(Cl)n1']; [0.997137666]
Oc1cncc(Cc2ccccc2O)n1; [None]; [None]; [0]
Oc1cncc(-n2ccnc2)n1; [None]; [None]; [0]
COc1ccc(Cc2cncc(O)n2)cc1; [None]; [None]; [0]
OC[C@@H](O)Cc1cncc(O)n1; [None]; [None]; [0]
Oc1cncc(-c2ccc(Br)cc2)n1; ['OB(O)c1ccc(Br)cc1']; ['Oc1cncc(Cl)n1']; [0.999156833]
Oc1cncc(-c2cn[nH]c2)n1; ['CC1(C)OB(c2cn[nH]c2)OC1(C)C']; ['Oc1cncc(Cl)n1']; [0.99941659]
Oc1cncc(-c2ccc[nH]2)n1; [None]; [None]; [0]
COc1ccc(Cl)cc1-c1cncc(O)n1; ['COc1ccc(Cl)cc1B(O)O']; ['Oc1cncc(Cl)n1']; [0.986034632]
Oc1cncc(-c2ccc3c(c2)CCO3)n1; ['OB(O)c1ccc2c(c1)CCO2']; ['Oc1cncc(Cl)n1']; [0.999888539]
Oc1cncc(-c2cc3ccccc3cn2)n1; [None]; [None]; [0]
COc1cc(-c2cncc(O)n2)ccc1O; ['COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1O']; ['Oc1cncc(Cl)n1']; [0.999969]
Oc1cncc(Cn2ccnc2)n1; [None]; [None]; [0]
Oc1cncc(-c2ccc(F)c(F)c2)n1; ['CC1(C)OB(c2ccc(F)c(F)c2)OC1(C)C']; ['Oc1cncc(Cl)n1']; [0.999992609]
Oc1cncc(-c2scc3c2OCCO3)n1; [None]; [None]; [0]
Oc1cncc(-c2cnc3ccccc3c2)n1; ['CC1(C)OB(c2cnc3ccccc3c2)OC1(C)C']; ['Oc1cncc(Cl)n1']; [0.999996662]
Oc1cncc(-c2cccc3c2OCO3)n1; [None]; [None]; [0]
COCCOc1cncc(O)n1; ['COCCO']; ['Oc1cncc(Cl)n1']; [0.818292916]
CC(C)(C)c1ccc(-c2cncc(O)n2)cc1; ['CC(C)(C)c1ccc(B(O)O)cc1']; ['Oc1cncc(Cl)n1']; [0.999913573]
CSc1cccc(-c2cncc(O)n2)c1; ['CSc1cccc(B(O)O)c1']; ['Oc1cncc(Cl)n1']; [0.99731195]
CC1(COc2cncc(O)n2)COC1; ['CC1(CO)COC1']; ['Oc1cncc(Cl)n1']; [0.794930339]
Cc1cc(-c2cncc(O)n2)nc(N)n1; [None]; [None]; [0]
Oc1cncc(-c2ccc(F)cc2Cl)n1; ['OB(O)c1ccc(F)cc1Cl']; ['Oc1cncc(Cl)n1']; [0.985489309]
OC[C@H](Cc1ccccc1)c1cncc(O)n1; [None]; [None]; [0]
COc1ccc(-c2cncc(O)n2)cc1OC; ['COc1ccc(B2OC(C)(C)C(C)(C)O2)cc1OC', 'COc1ccc(B(O)O)cc1OC']; ['Oc1cncc(Cl)n1', 'Oc1cncc(Cl)n1']; [0.999937534, 0.999937534]
Oc1cncc([C@@H]2CC[C@@H](O)CC2)n1; [None]; [None]; [0]
Oc1cncc([C@H]2CC[C@@H](O)C2)n1; [None]; [None]; [0]
Oc1cncc(-c2ncc(Br)cn2)n1; [None]; [None]; [0]
CCc1ccc(-c2cncc(O)n2)cc1; ['CCc1ccc(B2OC(C)(C)C(C)(C)O2)cc1', 'CCc1ccc(B(O)O)cc1']; ['Oc1cncc(Cl)n1', 'Oc1cncc(Cl)n1']; [0.999993801, 0.999993801]
Oc1cncc(-c2ccsc2)n1; ['OB(O)c1ccsc1']; ['Oc1cncc(Cl)n1']; [0.999974251]
Oc1cncc(-c2ccc(Cl)cc2Cl)n1; ['OB(O)c1ccc(Cl)cc1Cl']; ['Oc1cncc(Cl)n1']; [0.970641375]
COc1ccc(CNc2cncc(O)n2)cc1; [None]; [None]; [0]
Oc1ccc2cccc(-c3cncc(O)n3)c2c1; [None]; [None]; [0]
COc1ccc2cccc(-c3cncc(O)n3)c2c1; [None]; [None]; [0]
COc1cc(-c2cncc(O)n2)ccc1Cl; ['COc1cc(B(O)O)ccc1Cl']; ['Oc1cncc(Cl)n1']; [0.99940896]
Cn1cc(-c2cncc(O)n2)c(C(F)(F)F)n1; [None]; [None]; [0]
Cc1nc(Nc2cncc(O)n2)sc1C; [None]; [None]; [0]
Cc1ccc(-c2cncc(O)n2)o1; [None]; [None]; [0]
COc1cc(F)c(-c2cncc(O)n2)cc1OC; [None]; [None]; [0]
Oc1cncc(-c2ccc3cn[nH]c3c2)n1; [None]; [None]; [0]
COc1cc(-c2cncc(O)n2)c(OC)cc1Br; [None]; [None]; [0]
CC(C)Oc1cncc(O)n1; ['CC(C)O']; ['Oc1cncc(Cl)n1']; [0.907782853]
Cc1cc(Nc2cncc(O)n2)nn1C; [None]; [None]; [0]
COc1cc(OC)cc(-c2cncc(O)n2)c1; ['COc1cc(OC)cc(B(O)O)c1']; ['Oc1cncc(Cl)n1']; [0.999042]
CNC(=O)c1ccc(-c2cncc(O)n2)cc1; ['CNC(=O)c1ccc(B(O)O)cc1']; ['Oc1cncc(Cl)n1']; [0.999984622]
Oc1cncc(-c2cc3ccccc3o2)n1; [None]; [None]; [0]
CCn1cc(-c2cncc(O)n2)cn1; ['CCn1cc(B2OC(C)(C)C(C)(C)O2)cn1']; ['Oc1cncc(Cl)n1']; [0.995718062]
Oc1cncc(-c2ccc(OC(F)(F)F)cc2)n1; ['OB(O)c1ccc(OC(F)(F)F)cc1']; ['Oc1cncc(Cl)n1']; [0.999969721]
COC(=O)Nc1cncc(O)n1; ['COC(N)=O']; ['Oc1cncc(Cl)n1']; [0.995010734]
Oc1cncc(-c2cscn2)n1; [None]; [None]; [0]
CCc1cccc(-c2cncc(O)n2)n1; [None]; [None]; [0]
O=C1CCCN1c1cccc(-c2cncc(O)n2)c1; [None]; [None]; [0]
Cc1ccc(-c2cncc(O)n2)nc1C; [None]; [None]; [0]
OCCc1ccc(-c2cncc(O)n2)cc1; [None]; [None]; [0]
Oc1cncc(Nc2ccc(F)cn2)n1; ['Nc1ccc(F)cn1']; ['Oc1cncc(Cl)n1']; [0.987090409]
COc1cc(N2CCNCC2)ccc1-c1cncc(O)n1; [None]; [None]; [0]
Oc1cncc(Nc2ccccn2)n1; ['Nc1ccccn1']; ['Oc1cncc(Cl)n1']; [0.978194416]
CNC(=O)c1ccccc1-c1ccc2nn[nH]c2c1; [None]; [None]; [0]
CCOc1ccccc1-c1ccc2nn[nH]c2c1; [None]; [None]; [0]
CS(=O)(=O)c1ccc(Cl)c(-c2cncc(O)n2)c1; [None]; [None]; [0]
Fc1cc(F)cc(Cc2ccc3nn[nH]c3c2)c1; [None]; [None]; [0]
c1ccc2c(-c3ccc4nn[nH]c4c3)ccnc2c1; [None]; [None]; [0]
FC(F)(F)c1cccc(-c2ccc3nn[nH]c3c2)c1; [None]; [None]; [0]
O[C@H]1C[C@@H](c2ccc3nn[nH]c3c2)C1; [None]; [None]; [0]
c1cncc(-c2ccc3nn[nH]c3c2)c1; [None]; [None]; [0]
Clc1ccccc1-c1ccc2nn[nH]c2c1; [None]; [None]; [0]
c1cc(-c2ccc3nn[nH]c3c2)n[nH]1; [None]; [None]; [0]
Brc1ccccc1-c1ccc2nn[nH]c2c1; [None]; [None]; [0]
FC(F)(F)Oc1ccccc1-c1ccc2nn[nH]c2c1; [None]; [None]; [0]
Fc1ccccc1-c1ccc2nn[nH]c2c1; [None]; [None]; [0]
NC(=O)c1ccccc1-c1ccc2nn[nH]c2c1; [None]; [None]; [0]
c1ccc(-c2ncc(-c3ccc4nn[nH]c4c3)[nH]2)cc1; [None]; [None]; [0]
N#Cc1ccccc1-c1ccc2nn[nH]c2c1; [None]; [None]; [0]
Fc1cccc(F)c1-c1ccc2nn[nH]c2c1; [None]; [None]; [0]
c1ccc(Cn2cc(-c3ccc4nn[nH]c4c3)cn2)cc1; [None]; [None]; [0]
N[C@H](c1ccc2nn[nH]c2c1)c1ccco1; [None]; [None]; [0]
OCCn1cc(-c2ccc3nn[nH]c3c2)cn1; [None]; [None]; [0]
c1cc2c(cc1-c1ccc3nn[nH]c3c1)CCC2; [None]; [None]; [0]
c1cc(-c2ccc3nn[nH]c3c2)ncn1; [None]; [None]; [0]
Cc1ccc(-c2ccc3nn[nH]c3c2)c(Br)c1; [None]; [None]; [0]
O=C(Nc1cccc(-c2ccc3nn[nH]c3c2)c1)c1ccccc1; [None]; [None]; [0]
c1ccn2c(-c3ccc4nn[nH]c4c3)cnc2c1; [None]; [None]; [0]
Cc1nc(C)c(-c2ccc3nn[nH]c3c2)s1; [None]; [None]; [0]
c1ncc(-c2ccc3nn[nH]c3c2)o1; [None]; [None]; [0]
c1cnn2c(-c3ccc4nn[nH]c4c3)cnc2c1; [None]; [None]; [0]
Clc1cccc(Cl)c1-c1ccc2nn[nH]c2c1; [None]; [None]; [0]
Cc1nc(N)sc1-c1ccc2nn[nH]c2c1; [None]; [None]; [0]
c1cc2nn[nH]c2cc1OC1CCCCC1; [None]; [None]; [0]
Cc1ccc(Cl)c(-c2ccc3nn[nH]c3c2)c1; [None]; [None]; [0]
CC(C)(C)Nc1ccc2nn[nH]c2c1; [None]; [None]; [0]
c1cncc(CNc2ccc3nn[nH]c3c2)c1; [None]; [None]; [0]
Cc1ncc(-c2ccc3nn[nH]c3c2)[nH]1; [None]; [None]; [0]
Clc1cccc(-c2ccc3nn[nH]c3c2)c1Cl; [None]; [None]; [0]
COc1cccc(-c2ccc3nn[nH]c3c2)c1; [None]; [None]; [0]
c1ccc2cc(-c3ccc4nn[nH]c4c3)ccc2c1; [None]; [None]; [0]
Nc1nccc(-c2ccc3nn[nH]c3c2)n1; [None]; [None]; [0]
c1cncc(Nc2ccc3nn[nH]c3c2)c1; [None]; [None]; [0]
C[C@H](CO)Nc1ccc2nn[nH]c2c1; [None]; [None]; [0]
CC(C)COc1ccc2nn[nH]c2c1; [None]; [None]; [0]
Clc1ccc(-c2ccc3nn[nH]c3c2)s1; [None]; [None]; [0]
O=C(Nc1ccc2nn[nH]c2c1)c1cccs1; [None]; [None]; [0]
c1ccc2c(c1)ncn2-c1ccc2nn[nH]c2c1; [None]; [None]; [0]
c1ccc2c(-c3ccc4nn[nH]c4c3)cncc2c1; [None]; [None]; [0]
Oc1cccc(-c2ccc3nn[nH]c3c2)c1; [None]; [None]; [0]
C[C@@H](O)[C@@H](C)Oc1ccc2nn[nH]c2c1; [None]; [None]; [0]
OCc1cccc(-c2ccc3nn[nH]c3c2)c1; ['CC1(C)OB(c2cccc(CO)c2)OC1(C)C']; ['c1ccc2[nH]nnc2c1']; [0.905644]
Cn1cncc1-c1ccc2nn[nH]c2c1; [None]; [None]; [0]
c1cc(Nc2ccc3nn[nH]c3c2)ccn1; [None]; [None]; [0]
c1csc(-c2ccc3nn[nH]c3c2)c1; [None]; [None]; [0]
Cn1cc(-c2ccc3nn[nH]c3c2)cn1; [None]; [None]; [0]
c1coc(-c2ccc3nn[nH]c3c2)c1; [None]; [None]; [0]
CC(C)Nc1ccc2nn[nH]c2c1; [None]; [None]; [0]
CCC(=O)Nc1ccc(-c2ccc3nn[nH]c3c2)cc1; [None]; [None]; [0]
N#CCCc1cccc(-c2ccc3nn[nH]c3c2)c1; [None]; [None]; [0]
Fc1ccc(-c2ccc3nn[nH]c3c2)c(C(F)(F)F)c1; [None]; [None]; [0]
CCC(=O)Nc1ccc2nn[nH]c2c1; [None]; [None]; [0]
CC(=O)Nc1cccc(-c2ccc3nn[nH]c3c2)c1; [None]; [None]; [0]
COc1ccc(-c2ccc3nn[nH]c3c2)cc1Cl; [None]; [None]; [0]
c1cc2nn[nH]c2cc1-c1cnoc1; [None]; [None]; [0]
Cc1cc(-c2ccc3nn[nH]c3c2)no1; [None]; [None]; [0]
