N#Cc1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12']; ['N#Cc1ccc(B(O)O)cc1']; [0.999996066]
COc1cc(N2CCNCC2)ccc1Nc1cc(C)n[nH]1; [None]; [None]; [0]
Cc1cc(Nc2cc(S(C)(=O)=O)ccc2Cl)[nH]n1; ['CS(=O)(=O)c1ccc(Cl)c(Br)c1']; ['Cc1cc(N)[nH]n1']; [0.999783099]
COc1ncccc1-c1cnn2cccnc12; ['Brc1cnn2cccnc12']; ['COc1ncccc1B(O)O']; [0.999732554]
CCOc1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12', 'Brc1cnn2cccnc12']; ['CCOc1ccc(B2OC(C)(C)C(C)(C)O2)cc1', 'CCOc1ccc(B(O)O)cc1']; [0.999999881, 0.999999881]
CS(=O)(=O)c1cccc(-c2cnn3cccnc23)c1; ['Brc1cnn2cccnc12']; ['CS(=O)(=O)c1cccc(B(O)O)c1']; [0.999998212]
COc1cc(-c2cnn3cccnc23)cc(OC)c1OC; ['Brc1cnn2cccnc12']; ['COc1cc(B(O)O)cc(OC)c1OC']; [0.999996901]
Cc1n[nH]cc1-c1cnn2cccnc12; [None]; [None]; [0]
Cn1cc(-c2cnn3cccnc23)cn1; ['Brc1cnn2cccnc12', 'Brc1cnn2cccnc12']; ['Cn1cc(B2OC(C)(C)C(C)(C)O2)cn1', 'Cn1cc(B(O)O)cn1']; [0.999999762, 0.999999762]
Oc1cccc(-c2cnn3cccnc23)c1; ['Brc1cnn2cccnc12']; ['OB(O)c1cccc(O)c1']; [0.999985933]
c1cnn2c(-c3cnn4cccnc34)cnc2c1; ['Brc1cnn2cccnc12']; ['c1cnn2ccnc2c1']; [0.999837518]
c1ccc2[nH]c(-c3cnn4cccnc34)nc2c1; [None]; [None]; [0]
Cn1nncc1-c1cnn2cccnc12; ['Brc1cnn2cccnc12']; ['Cn1ccnn1']; [0.999487519]
Cc1nn(C)cc1-c1cnn2cccnc12; ['Brc1cnn2cccnc12']; ['Cc1nn(C)cc1B1OC(C)(C)C(C)(C)O1']; [0.999999881]
Cc1cc(Nc2cnn3cccnc23)sn1; [None]; [None]; [0]
COc1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12']; ['COc1ccc(B(O)O)cc1']; [0.999995112]
O=C(Nc1ccccc1)c1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12']; ['O=C(Nc1ccccc1)c1ccc(B(O)O)cc1']; [0.999979734]
NC(=O)c1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12']; ['NC(=O)c1ccc(B(O)O)cc1']; [0.999991775]
c1cnc(Nc2cnn3cccnc23)nc1; [None]; [None]; [0]
Fc1cccc(-c2cnn3cccnc23)c1; [None]; [None]; [0]
c1ccc2c(Cc3cnn4cccnc34)nccc2c1; [None]; [None]; [0]
O=C(Nc1cnn2cccnc12)C1CC1; [None]; [None]; [0]
Clc1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12', 'COC(CC(OC)OC)OC']; ['OB(O)c1ccc(Cl)cc1', 'Nc1[nH]ncc1-c1ccc(Cl)cc1']; [0.999995828, 0.999995828]
c1cnc2c(Nc3ccncn3)cnn2c1; ['Brc1cnn2cccnc12']; ['Nc1ccncn1']; [0.99736917]
OCCOc1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12']; ['OCCOc1ccc(Br)cc1']; [0.999502897]
Cc1cc(-c2cnn3cccnc23)nn1C; [None]; [None]; [0]
c1cc(-c2cnn3cccnc23)cc(C2CCNCC2)c1; [None]; [None]; [0]
FC(F)(F)c1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12']; ['OB(O)c1ccc(C(F)(F)F)cc1']; [0.999999523]
CNS(=O)(=O)c1ccc(-c2cnn3cccnc23)cc1; [None]; [None]; [0]
C[C@H](O)COc1ccc(-c2cnn3cccnc23)cc1; [None]; [None]; [0]
CN(C)c1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12', 'Brc1cnn2cccnc12']; ['CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1', 'CN(C)c1ccc(Br)cc1']; [1.0, 1.0]
Cc1nc(C)c(-c2cnn3cccnc23)s1; [None]; [None]; [0]
Oc1ccccc1Cc1cnn2cccnc12; [None]; [None]; [0]
c1cnc2c(Cc3ccncc3)cnn2c1; [None]; [None]; [0]
c1cncc(Cc2cnn3cccnc23)c1; [None]; [None]; [0]
OC[C@@H](O)Cc1cnn2cccnc12; [None]; [None]; [0]
c1cnc2c(-c3cncnc3)cnn2c1; ['Brc1cnn2cccnc12']; ['OB(O)c1cncnc1']; [0.999953032]
Clc1ncc(-c2cnn3cccnc23)cn1; ['Brc1cnn2cccnc12']; ['OB(O)c1cnc(Cl)nc1']; [0.999989152]
Brc1ccc(-c2cnn3cccnc23)cc1; ['COC(CC(OC)OC)OC']; ['Nc1[nH]ncc1-c1ccc(Br)cc1']; [0.999982476]
c1cnc2c(-n3ccnc3)cnn2c1; ['Brc1cnn2cccnc12']; ['c1c[nH]cn1']; [0.999708712]
COc1ccc(Cl)cc1-c1cnn2cccnc12; ['Brc1cnn2cccnc12']; ['COc1ccc(Cl)cc1B(O)O']; [0.999970317]
COc1ccc(Cc2cnn3cccnc23)cc1; [None]; [None]; [0]
c1cnc2c(-c3cn[nH]c3)cnn2c1; ['Brc1cnn2cccnc12']; ['OB(O)c1cn[nH]c1']; [0.999980807]
c1cnc2c(-c3ccc4c(c3)CCO4)cnn2c1; ['Brc1cnn2cccnc12']; ['OB(O)c1ccc2c(c1)CCO2']; [0.999999881]
c1c[nH]c(-c2cnn3cccnc23)c1; [None]; [None]; [0]
c1ccc2c(-c3cnn4cccnc34)c[nH]c2c1; [None]; [None]; [0]
CC(=O)Nc1cccc(-c2cnn3cccnc23)c1; ['Brc1cnn2cccnc12', 'Brc1cnn2cccnc12']; ['CC(=O)Nc1cccc(B2OC(C)(C)C(C)(C)O2)c1', 'CC(=O)Nc1cccc(B(O)O)c1']; [0.999999762, 0.999999762]
c1cnc2c(Cn3ccnc3)cnn2c1; [None]; [None]; [0]
